date_day,icd10_code_001_J12.8,icd10_code_002_I10.90,icd10_code_003_J96.00,icd10_code_004_Z22.8,icd10_code_005_B33.8,icd10_cat_001_E87,icd10_cat_002_J12,icd10_cat_003_J96,icd10_cat_004_I10,icd10_cat_005_N18,icd10_chap_001_R,icd10_chap_002_I,icd10_chap_003_E,icd10_chap_004_J,icd10_chap_005_Z
2020-07-10,NA,32,NA,NA,NA,9,NA,NA,35,19,60,75,56,27,74
2020-07-11,NA,10,NA,NA,NA,5,NA,NA,11,11,24,29,20,10,26
2020-07-12,NA,28,NA,NA,NA,9,NA,5,32,14,37,52,39,22,42
2020-07-13,NA,35,NA,NA,NA,13,NA,7,43,28,57,96,80,28,107
2020-07-14,NA,52,NA,NA,NA,19,NA,9,58,33,77,122,103,32,123
2020-07-15,NA,48,NA,NA,NA,21,NA,5,51,30,69,97,89,34,115
2020-07-16,NA,37,NA,NA,NA,21,NA,5,42,30,63,101,82,26,97
2020-07-17,NA,29,NA,NA,NA,18,NA,8,32,18,47,74,66,34,86
2020-07-18,NA,18,NA,NA,NA,7,NA,NA,20,10,26,35,33,15,39
2020-07-19,NA,16,NA,NA,NA,12,NA,9,18,21,46,53,42,25,52
2020-07-20,NA,51,NA,NA,NA,18,NA,NA,57,33,67,125,105,35,133
2020-07-21,NA,47,NA,NA,NA,25,NA,8,54,30,73,106,107,43,112
2020-07-22,NA,45,NA,NA,NA,14,NA,6,49,27,75,99,91,34,104
2020-07-23,NA,40,NA,NA,NA,15,NA,5,46,35,53,96,84,31,90
2020-07-24,NA,25,NA,NA,NA,10,NA,7,27,24,48,72,56,34,70
2020-07-25,NA,18,NA,NA,NA,10,NA,NA,19,15,31,44,33,10,36
2020-07-26,NA,15,NA,NA,NA,8,NA,NA,17,8,38,43,37,21,43
2020-07-27,NA,48,NA,NA,NA,25,NA,11,54,29,70,119,99,40,117
2020-07-28,NA,50,NA,NA,NA,21,NA,NA,56,32,69,122,101,31,125
2020-07-29,NA,51,NA,NA,NA,23,NA,11,57,38,68,106,92,42,110
2020-07-30,NA,47,NA,NA,NA,16,NA,6,50,27,57,90,71,24,95
2020-07-31,NA,30,6,NA,NA,21,NA,10,31,18,50,69,65,34,61
2020-08-01,NA,12,NA,NA,NA,7,NA,NA,13,10,26,35,32,9,45
2020-08-02,NA,17,NA,NA,NA,11,NA,9,17,9,38,41,43,19,53
2020-08-03,NA,56,NA,NA,NA,29,NA,11,61,29,72,121,112,37,131
2020-08-04,NA,38,NA,NA,NA,16,NA,5,43,25,57,90,89,38,98
2020-08-05,NA,55,NA,NA,NA,19,NA,NA,63,26,70,105,89,23,109
2020-08-06,NA,36,NA,NA,NA,16,NA,6,40,22,59,83,76,25,89
2020-08-07,NA,38,NA,NA,NA,17,NA,9,41,25,61,82,81,27,103
2020-08-08,NA,11,NA,NA,NA,NA,NA,NA,12,6,28,33,24,13,33
2020-08-09,NA,15,NA,NA,NA,18,NA,NA,18,14,40,57,55,16,54
2020-08-10,NA,60,NA,NA,NA,23,NA,9,63,37,87,144,117,35,132
2020-08-11,NA,44,6,NA,NA,19,NA,13,45,23,56,103,88,37,109
2020-08-12,NA,38,NA,NA,NA,20,NA,NA,40,28,77,101,97,30,109
2020-08-13,NA,39,NA,NA,NA,16,NA,6,42,26,58,91,66,30,101
2020-08-14,NA,24,NA,NA,NA,15,NA,NA,29,25,58,73,65,20,79
2020-08-15,NA,13,NA,NA,NA,7,NA,6,15,8,25,29,24,13,40
2020-08-16,NA,18,NA,NA,NA,9,NA,6,22,8,40,54,43,16,42
2020-08-17,NA,45,NA,NA,NA,21,NA,6,47,31,76,115,97,30,128
2020-08-18,NA,56,5,NA,NA,16,NA,11,59,32,61,119,100,42,111
2020-08-19,NA,47,5,NA,NA,11,NA,10,47,31,65,98,82,32,105
2020-08-20,NA,40,NA,NA,NA,15,NA,7,44,23,63,90,76,29,81
2020-08-21,NA,39,NA,NA,NA,19,NA,5,39,20,59,77,79,31,94
2020-08-22,NA,16,NA,NA,NA,5,NA,NA,18,14,39,47,30,14,40
2020-08-23,NA,17,NA,NA,NA,8,NA,NA,19,14,28,41,35,13,43
2020-08-24,NA,54,6,NA,NA,21,NA,8,55,25,67,104,104,38,117
2020-08-25,NA,43,5,NA,NA,10,NA,8,46,24,49,91,82,26,85
2020-08-26,NA,32,NA,NA,NA,24,NA,5,38,26,47,76,68,31,93
2020-08-27,NA,28,NA,NA,NA,20,NA,11,29,29,55,94,71,38,97
2020-08-28,NA,33,NA,NA,NA,16,NA,5,37,23,49,80,71,31,92
2020-08-29,NA,9,NA,NA,NA,7,NA,NA,11,5,28,31,32,14,31
2020-08-30,NA,16,NA,NA,NA,15,NA,5,18,11,31,44,39,15,48
2020-08-31,NA,49,NA,NA,NA,28,NA,6,54,24,69,111,101,33,123
2020-09-01,NA,34,NA,NA,NA,22,NA,5,42,32,67,101,79,27,104
2020-09-02,NA,39,NA,NA,NA,14,NA,7,42,26,70,98,87,33,98
2020-09-03,NA,50,NA,NA,NA,25,NA,5,55,30,72,109,97,34,108
2020-09-04,NA,33,NA,NA,NA,17,NA,5,36,23,62,85,68,37,91
2020-09-05,NA,9,NA,NA,NA,9,NA,NA,10,9,34,26,29,11,40
2020-09-06,NA,17,NA,NA,NA,12,NA,9,19,8,42,48,37,21,43
2020-09-07,NA,46,5,NA,NA,26,NA,7,48,26,70,112,93,46,102
2020-09-08,NA,44,5,NA,NA,16,NA,8,52,30,63,107,97,32,98
2020-09-09,NA,40,NA,NA,NA,18,NA,5,40,25,64,94,81,38,104
2020-09-10,NA,35,NA,NA,NA,19,NA,5,39,15,50,81,68,29,86
2020-09-11,NA,35,NA,NA,NA,23,NA,NA,37,23,67,96,78,35,84
2020-09-12,NA,18,NA,NA,NA,13,NA,5,20,11,31,40,33,15,30
2020-09-13,NA,18,NA,NA,NA,6,NA,NA,19,14,29,40,33,11,47
2020-09-14,NA,43,NA,NA,NA,17,NA,12,49,36,89,123,94,43,114
2020-09-15,NA,42,NA,NA,NA,20,NA,6,46,38,75,111,98,45,117
2020-09-16,NA,49,5,NA,NA,22,NA,12,53,39,76,121,104,42,121
2020-09-17,NA,31,NA,NA,NA,18,NA,NA,34,30,63,80,82,27,88
2020-09-18,NA,38,NA,NA,NA,26,NA,8,43,28,74,83,91,38,88
2020-09-19,NA,12,NA,NA,NA,13,NA,5,14,13,38,36,35,15,39
2020-09-20,NA,26,NA,NA,NA,14,NA,7,29,18,43,56,42,25,57
2020-09-21,NA,53,7,NA,NA,23,NA,10,58,25,75,117,113,43,132
2020-09-22,NA,44,7,NA,NA,11,NA,13,47,22,60,87,77,38,89
