date_day,visits
2022-10-04,169
2022-10-05,154
2022-10-06,144
2022-10-07,136
2022-10-08,174
2022-10-09,147
2022-10-10,168
2022-10-11,145
2022-10-12,146
2022-10-13,148
2022-10-14,160
2022-10-15,146
2022-10-16,122
2022-10-17,164
2022-10-18,170
2022-10-19,158
2022-10-20,147
2022-10-21,154
2022-10-22,147
2022-10-23,127
2022-10-24,152
2022-10-25,150
2022-10-26,153
2022-10-27,150
2022-10-28,153
2022-10-29,136
2022-10-30,151
2022-10-31,153
2022-11-01,161
2022-11-02,139
2022-11-03,148
2022-11-04,142
2022-11-05,139
2022-11-06,127
2022-11-07,158
2022-11-08,147
2022-11-09,151
2022-11-10,152
2022-11-11,153
2022-11-12,144
2022-11-13,126
2022-11-14,181
2022-11-15,156
2022-11-16,154
2022-11-17,160
2022-11-18,136
2022-11-19,141
2022-11-20,111
2022-11-21,156
2022-11-22,153
2022-11-23,132
2022-11-24,151
2022-11-25,150
2022-11-26,152
2022-11-27,129
2022-11-28,154
2022-11-29,122
2022-11-30,145
2022-12-01,133
2022-12-02,148
2022-12-03,119
2022-12-04,126
2022-12-05,146
2022-12-06,130
2022-12-07,137
2022-12-08,141
2022-12-09,147
2022-12-10,134
2022-12-11,141
2022-12-12,146
2022-12-13,137
2022-12-14,134
2022-12-15,175
2022-12-16,150
2022-12-17,148
2022-12-18,121
2022-12-19,160
2022-12-20,155
2022-12-21,151
2022-12-22,172
2022-12-23,157
2022-12-24,123
2022-12-25,157
2022-12-26,140
2022-12-27,155
2022-12-28,156
2022-12-29,155
2022-12-30,152
2022-12-31,114
2023-01-01,168
2023-01-02,161
2023-01-03,158
2023-01-04,150
2023-01-05,139
2023-01-06,127
2023-01-07,149
2023-01-08,133
2023-01-09,128
2023-01-10,125
2023-01-11,113
2023-01-12,116
2023-01-13,144
2023-01-14,109
2023-01-15,114
2023-01-16,114
2023-01-17,116
2023-01-18,116
2023-01-19,137
2023-01-20,128
2023-01-21,123
2023-01-22,131
2023-01-23,137
2023-01-24,127
2023-01-25,113
2023-01-26,98
2023-01-27,129
2023-01-28,125
2023-01-29,122
2023-01-30,121
2023-01-31,118
2023-02-01,140
2023-02-02,112
2023-02-03,121
2023-02-04,124
2023-02-05,132
2023-02-06,136
2023-02-07,130
2023-02-08,100
2023-02-09,144
2023-02-10,124
2023-02-11,127
2023-02-12,132
2023-02-13,158
2023-02-14,123
2023-02-15,143
2023-02-16,154
2023-02-17,125
2023-02-18,130
2023-02-19,113
2023-02-20,147
2023-02-21,124
2023-02-22,115
2023-02-23,128
2023-02-24,141
2023-02-25,163
2023-02-26,149
2023-02-27,130
2023-02-28,128
2023-03-01,106
2023-03-02,153
2023-03-03,120
2023-03-04,136
2023-03-05,149
2023-03-06,149
2023-03-07,122
2023-03-08,140
2023-03-09,146
2023-03-10,128
2023-03-11,130
2023-03-12,141
2023-03-13,140
2023-03-14,137
2023-03-15,143
2023-03-16,127
2023-03-17,135
2023-03-18,136
2023-03-19,124
2023-03-20,122
2023-03-21,133
2023-03-22,108
2023-03-23,121
2023-03-24,117
2023-03-25,124
2023-03-26,114
2023-03-27,144
2023-03-28,121
2023-03-29,118
2023-03-30,128
2023-03-31,128
2023-04-01,138
2023-04-02,135
2023-04-03,146
2023-04-04,120
2023-04-05,140
2023-04-06,149
2023-04-07,130
2023-04-08,180
2023-04-09,127
2023-04-10,143
2023-04-11,152
2023-04-12,145
2023-04-13,128
2023-04-14,143
2023-04-15,157
2023-04-16,130
2023-04-17,137
2023-04-18,127
2023-04-19,146
2023-04-20,134
2023-04-21,120
2023-04-22,124
2023-04-23,138
2023-04-24,140
2023-04-25,115
2023-04-26,109
2023-04-27,110
2023-04-28,107
2023-04-29,120
2023-04-30,111
2023-05-01,123
2023-05-02,111
2023-05-03,122
2023-05-04,123
2023-05-05,136
2023-05-06,123
2023-05-07,105
2023-05-08,130
2023-05-09,120
2023-05-10,125
2023-05-11,106
2023-05-12,134
2023-05-13,127
2023-05-14,113
2023-05-15,145
2023-05-16,138
2023-05-17,119
2023-05-18,103
2023-05-19,135
2023-05-20,117
2023-05-21,115
2023-05-22,146
2023-05-23,113
2023-05-24,111
2023-05-25,101
2023-05-26,141
2023-05-27,138
2023-05-28,131
2023-05-29,114
2023-05-30,136
2023-05-31,111
2023-06-01,114
2023-06-02,124
2023-06-03,134
2023-06-04,122
2023-06-05,113
2023-06-06,117
2023-06-07,117
2023-06-08,122
2023-06-09,123
2023-06-10,136
2023-06-11,138
2023-06-12,131
2023-06-13,112
2023-06-14,99
2023-06-15,123
2023-06-16,126
2023-06-17,119
2023-06-18,117
2023-06-19,130
2023-06-20,111
2023-06-21,100
2023-06-22,119
2023-06-23,117
2023-06-24,118
2023-06-25,127
2023-06-26,121
2023-06-27,105
2023-06-28,100
2023-06-29,129
2023-06-30,128
