number_xy,number_combination_features,name_data_set,number_combination_kNp,k,N,p,group_dates_train_test,number_dates_train_test,number_hyp_par_grid_lr,rmse_train,rmse_test
001,006,base,013,14,7,21,002,009,001,18.32082389915643,25.194424691590225
001,006,base,013,14,7,21,002,010,001,18.68395405830415,35.169431431321364
001,006,base,013,14,7,21,002,011,001,19.202141839829636,10.311727748148584
001,006,base,013,14,7,21,002,012,001,18.94865387613856,10.833355131639113
001,006,base,014,14,7,28,002,001,001,3.985872006862082e-14,16.877422957820713
001,006,base,014,14,7,28,002,002,001,8.454000537183013e-14,136.58901459508567
001,006,base,014,14,7,28,002,003,001,7.267193300120796,111.1812958574264
001,006,base,014,14,7,28,002,004,001,12.478184802604453,19.42973606137471
001,006,base,014,14,7,28,002,005,001,12.711192637267725,27.758696896927297
001,006,base,014,14,7,28,002,006,001,13.215254802778123,24.997933028237522
001,006,base,014,14,7,28,002,007,001,13.40730145671173,64.34341382664243
001,006,base,014,14,7,28,002,008,001,14.523509529899037,70.97040691352441
001,006,base,014,14,7,28,002,009,001,17.99539118661277,26.388927558918724
