date_day,sars_cov2_rna,sars_cov2_rna_normalized
2023-03-20,8458237831731.464,468237258.17800003
2023-03-21,17167460702800.943,995330513.845
2023-03-22,10383966843140.912,604567661.42
2023-03-23,3600472983480.88,213804808.995
2023-03-24,3101031310306.9814,90435442.12
2023-03-25,6183913366497.973,224812352.00100002
2023-03-26,7943029033919.988,245230905.647
2023-03-27,12748386783886.717,533405304.765
2023-03-28,9117873259699,498189993.427
2023-03-29,3151596366040.7485,177344908.336
2023-03-30,5420191178126.435,243221502.272
2023-03-31,7121854939515.574,250364020.935
2023-04-01,12411126027179.46,393379588.81700003
2023-04-02,6480169472951.003,250373598.368
2023-04-03,7237543347788.319,380003326.042
2023-04-04,10350999600987.775,553174412.195
2023-04-05,3420170942947.8755,191017645.51500002
2023-04-06,4432640463168.023,254822676.813
2023-04-07,3159495038332.108,96106312.95300001
2023-04-08,7311953444800.383,425707582.953
2023-04-09,5695824229992.758,352944864.915
2023-04-10,4125075876233.156,244372278.282
2023-04-11,2554327522473.5537,135799691.649
2023-04-12,983579168713.9517,27227105.016
2023-04-13,779891909926.1805,37708727.876
2023-04-14,2606478703430.7144,143063763.293
2023-04-15,1304736170384.4404,27651503.028
2023-04-16,4197968552146.5615,157676102.469
2023-04-17,3434896780425.3594,157860966.976
2023-04-18,2948128800967.225,149620828.307
2023-04-19,1174102737670.9585,63485602.772
2023-04-20,1545250059772.0422,69857597.639
2023-04-21,1619181184122.588,83674289.914
2023-04-22,2329347599328.4663,126995289.463
2023-04-23,3178708978695.478,121459209.763
2023-04-24,3777399314928.446,157516338.557
2023-04-25,4086996988291.689,140509402.423
2023-04-26,3483177100495.0493,183653754.11200002
2023-04-27,5127027354111.81,283042252.07600003
2023-04-28,4066121745878.118,133075494.874
2023-04-29,8318599608706.418,304198040.251
2023-04-30,2457288139794.2896,96209550.91
2023-05-01,3367977465896.1914,98680851.623
2023-05-02,1797097101730.3594,92424249.215
2023-05-03,1664558036762.2893,89840135.836
2023-05-04,3145404228213.108,170141409.002
2023-05-05,2477802836996.39,117928839.037
2023-05-06,2636513691737.004,133778855.883
2023-05-07,3893809680584.1143,105830176.408
2023-05-08,2191399180272.9736,92110427.484
2023-05-09,2864391015646.7617,68901929.559
2023-05-10,963085850124.9888,29694627.39
2023-05-11,1949157223468.0164,75434700.39400001
2023-05-12,2494425032768.1826,115045892.112
2023-05-13,2696754333109.037,78457882.378
2023-05-14,1524964152338.9905,66720517.691
2023-05-15,1217044514527.6306,46739295.462
2023-05-16,1175196319876.4895,52525088.043
2023-05-17,1445703698891.7454,72626529.634
2023-05-18,2619175952100.7354,145736476.30200002
2023-05-19,3093019555826.388,173716346.859
2023-05-20,2410199206267.065,137828055.485
2023-05-21,2339315940232.473,95618881.677
2023-05-22,3152381450623.5244,148480121.079
2023-05-23,2871902199617.9824,129370791.46000001
2023-05-24,2302068995093.632,126147679.05600001
2023-05-25,2407446709839.4146,137450568.646
2023-05-26,1259293108995.7212,70136068.449
2023-05-27,1182235173431.266,71352234.5
2023-05-28,1329895483218.5632,84836404.9
2023-05-29,2160866774358.1484,130898156.915
2023-05-30,1460363882162.0117,87688476.172
2023-05-31,1080711707281.7308,46293069.492
2023-06-01,380004690440.8386,22442989.041
2023-06-02,283549818632.09985,17013669.665
2023-06-03,563033625667.385,35524867.542
2023-06-04,482708099117.34,25890801.283
2023-06-05,414767337529.94977,22983893.247
2023-06-06,506493613512.18304,34872873.417
2023-06-07,946230549918.01,59444060.178
2023-06-08,991407222949.9016,64742847.447000004
2023-06-09,1324386045067.212,68063832.103
2023-06-10,1374436218061.6355,87649781.14
2023-06-11,1075044979165.0385,72993276.69500001
2023-06-12,650610765294.5697,38273472.869
2023-06-13,250667514592.70255,17976729.388
2023-06-14,269956975847.02792,17702096.777
2023-06-15,24545161290.322582,1612903.226
2023-06-16,352920369625.14594,23665283.285
2023-06-17,726397957609.052,50719030.695
2023-06-18,383562805337.61584,25827405.921
2023-06-19,428926369834.9988,14560607.3
2023-06-20,185161620465.74817,10145842.217
2023-06-21,158242070553.94806,9044988.314
2023-06-22,36624193548.3871,1612903.226
2023-06-23,25801612903.225807,1612903.226
2023-06-24,23267741935.48387,1612903.226
2023-06-25,23533870967.741936,1612903.226
2023-06-26,411163126158.7588,25041910.357
2023-06-27,536380924738.3342,41067370.396
2023-06-28,402302692123.09576,27100215.03
2023-06-29,354523397158.5846,18671044.113
2023-06-30,306744102194.07336,10241873.195
